Date,Open,Close,High,Low,Adj Close,Volume
2017/3/29,289.829987,283.320007,290.170013,282.76001,281.427338,973800
2017/3/30,284.309998,282.350006,286.5,282.130005,280.463806,1017800
2017/3/31,282,284,285.690002,280.350006,282.102753,795000
2017/4/3,283.339996,285.220001,286.880005,283.299988,283.314636,861600
2017/4/4,284.769989,273.089996,286.299988,271.570007,271.265656,1649200
2017/4/5,275.190002,276.459991,282.350006,272.519989,274.613129,1466800
2017/4/6,277.630005,276.01001,279.170013,273,274.166168,790800
2017/4/7,274.98999,277.220001,280,273.51001,275.368073,781400
2017/4/10,277.880005,272.329987,278.910004,271.5,270.510712,918600
2017/4/11,272.549988,268,275.880005,267.609985,266.209686,1269300
2017/4/12,268.75,265.429993,271.890015,264.350006,263.65683,972700
2017/4/13,265,265.679993,267.350006,262.720001,263.905121,959200
2017/4/17,266.019989,266.220001,268.149994,265.309998,264.441559,546900
2017/4/18,266.119995,264.200012,268,261.380005,262.435059,1088500
2017/4/19,263.470001,262.880005,264.98999,255.639999,261.12384,1406600
2017/4/20,264.5,266.140015,266.529999,262.01001,264.362091,749700
2017/4/21,268.109985,268.970001,269.540009,265.459991,267.173187,977800
2017/4/24,272.690002,274.140015,275.549988,271.859985,272.308655,1282600
2017/4/25,276.179993,277.959991,278.820007,274.359985,276.103119,1058600
2017/4/26,278.579987,265.399994,278.799988,265.070007,263.627014,1680200
2017/4/27,266.899994,265.690002,271.23999,264.790009,263.91507,1134700
2017/4/28,266.700012,265.390015,266.850006,261.309998,263.617126,819600
2017/5/1,265.359985,269.809998,271.040009,265.359985,268.007538,572400
2017/5/2,272.029999,265.589996,272.450012,264.910004,263.815735,962600
2017/5/3,266.040009,268.369995,269.369995,265.040009,266.577179,726400
2017/5/4,270.98999,265.339996,270.98999,264.320007,263.567444,842400
2017/5/5,265,264.5,266.450012,259.059998,262.733032,1059500
2017/5/8,266.899994,268.950012,269.779999,262,267.153351,909100
2017/5/9,270,271.899994,275.51001,270,270.083588,1369200
2017/5/10,275.269989,279.049988,281.869995,274.320007,277.185852,2255600
2017/5/11,287.880005,276.76001,289.700012,271.339996,274.911163,3548700
2017/5/12,277.25,271.290009,279.470001,270.309998,269.477692,1617800
2017/5/15,272.470001,284.25,286.670013,271.290009,282.351105,1732400
2017/5/16,284.98999,289.700012,295.329987,284,287.764709,1847600
2017/5/17,285.799988,283.019989,286.799988,278.5,281.129303,2330000
2017/5/18,280.970001,282.73999,289.130005,276.200012,280.851196,1649300
2017/5/19,285,286.75,290.959991,283.570007,284.834381,1335200
2017/5/22,289.609985,293.679993,296.880005,287.920013,291.718079,1764300
2017/5/23,296.690002,292.279999,301.820007,291.029999,290.327454,1420400
2017/5/24,291.820007,288.609985,293.640015,283.609985,287.745209,1398000
2017/5/25,291.799988,293.399994,296.609985,290,292.520844,1482700
2017/5/26,293.459991,292.350006,297.519989,291.920013,291.473999,718000
2017/5/30,292.019989,288.459991,294.25,286.029999,287.595642,921600
2017/5/31,288.519989,284.779999,289.640015,282.25,283.926697,1208800
2017/6/1,285.190002,288.570007,288.609985,283.790009,287.705353,787100
2017/6/2,287.450012,291.670013,291.769989,286.149994,290.796051,602100
2017/6/5,292.559998,293.529999,299.459991,292.01001,292.650482,1002900
2017/6/6,293.730011,302.880005,305,293.529999,301.972473,1814900
2017/6/7,303,314.660004,314.98999,301.01001,313.717163,1936400
2017/6/8,320.350006,313.640015,323.100006,308.26001,312.700226,2616300
2017/6/9,315.089996,303.619995,320.399994,297.26001,302.710236,2166700
2017/6/12,301.529999,306.459991,309.369995,296.5,305.541718,1390400
2017/6/13,309.869995,301.690002,310.529999,300.51001,300.786011,1296400
2017/6/14,305,294.769989,305.959991,291.679993,293.886749,1064400
2017/6/15,292.190002,292.670013,294.5,285.429993,291.79306,1109000
2017/6/16,294,296.970001,297.079987,291.25,296.08017,1023200
2017/6/19,299.809998,312.929993,313.429993,298.600006,311.99234,1495300
2017/6/20,311.179993,316.5,318,311.070007,315.551636,1470400
2017/6/21,316.600006,323.730011,327.26001,314.519989,322.759979,1035800
2017/6/22,321.799988,325.279999,326.619995,318.01001,324.305328,1084200
2017/6/23,320,333.559998,333.779999,319,332.560516,1358600
2017/6/26,333.679993,320.640015,337.549988,319.209991,319.67926,1502700
2017/6/27,321.640015,311.5,321.640015,310,310.56662,1226100
2017/6/28,312.609985,317.429993,317.76001,308.170013,316.478851,1194700
2017/6/29,314.48999,302.100006,316.48999,299.160004,301.194794,1438400
2017/6/30,305.029999,300.630005,307.589996,298.040009,299.729187,978400
2017/7/3,302.579987,296.829987,304.320007,294.869995,295.940582,760000
2017/7/5,294.25,294.149994,297.730011,290.100006,293.268616,1558300
2017/7/6,293.01001,296.799988,300.570007,292.279999,295.910675,1217100
2017/7/7,298.01001,295.790009,299.470001,293.73999,294.903717,739900
2017/7/10,297.51001,301,301.48999,295.350006,300.098083,949000
2017/7/11,302.559998,308.640015,308.929993,301,307.71521,1290300
2017/7/12,310.910004,314.459991,315.549988,310,313.517761,1073200
2017/7/13,315.299988,307.350006,317.5,306.299988,306.429077,1172400
2017/7/14,307.470001,310.350006,313,305.26001,309.420074,854100
2017/7/17,310,301.98999,310.420013,300.299988,301.085114,1248000
2017/7/18,302,309.209991,309.429993,300.149994,308.283478,1005800
2017/7/19,314,306.959991,317.75,305.679993,306.040222,1039500
2017/7/20,307,308.649994,310.73999,305.859985,307.725159,847600
2017/7/21,307.079987,307.200012,310.98999,306.450012,306.27951,768700
2017/7/24,309.230011,311.5,313.790009,307.589996,310.56662,674500
2017/7/25,311.890015,308.890015,312.459991,305.339996,307.964447,853000
2017/7/26,310.089996,312.149994,315.5,308.359985,311.214661,922800
2017/7/27,316,310.140015,320.920013,305.549988,309.210724,1640700
2017/7/28,308.309998,313.790009,316.25,306.5,312.849762,768400
2017/7/31,316.130005,311.279999,316.799988,307,310.34729,1086000
2017/8/1,314,308.399994,314.970001,306.799988,307.475922,809600
2017/8/2,306.51001,299.329987,307.540009,293.75,298.433075,1537200
2017/8/3,300.899994,302.170013,304.690002,297.899994,301.264587,765000
2017/8/4,304,304.470001,307.440002,302.200012,303.557678,681000
2017/8/7,305.01001,307.809998,308.73999,302.51001,306.887695,1272900
2017/8/8,310,309.220001,313.149994,305.369995,308.293457,1250900
2017/8/9,305.950012,315.049988,316.399994,302.459991,314.105988,1698700
2017/8/10,298.980011,284.25,301,283.299988,283.398285,6147100
2017/8/11,281.399994,280.959991,282.480011,273.190002,280.118134,2908800
2017/8/14,285.119995,278.809998,287.959991,278.200012,277.974579,56500
2017/8/15,278.850006,276.070007,279.619995,274.25,275.242798,1467700
2017/8/16,278.320007,278.559998,283.5,277.660004,277.725311,1275900
2017/8/17,279.929993,273.600006,282.820007,272.820007,272.780182,1422700
2017/8/18,273.799988,270.339996,273.920013,270,269.529968,1128300
2017/8/21,272.130005,274.73999,276.339996,270,273.916779,1158600
2017/8/22,277.23999,277,279.470001,273.170013,276.170013,1019900
2017/8/23,274.25,276.059998,278,273.269989,276.059998,756800
2017/8/24,278.630005,270.579987,278.709991,267.149994,270.579987,1602100
2017/8/25,272.230011,267.350006,272.299988,266.329987,267.350006,1400300
2017/8/28,267.109985,266.829987,267.5,262.619995,266.829987,1027000
2017/8/29,260.910004,265.149994,265.950012,259.440002,265.149994,1182300
2017/8/30,266.98999,275.570007,276.420013,266.690002,275.570007,1546500
